continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Oceania,Master's,Y,N,3156,West,90795.28,Year,Y,1,18
Asia,Master's,Y,N,988,Northeast,105265.77,Year,N,0,22
Asia,Master's,N,N,3715,West,25062.41,Year,Y,0,97
North America,Bachelor's,Y,N,796,South,689.3365,Hour,Y,1,85
Asia,Bachelor's,N,N,373,South,452.037,Hour,Y,1,26
Asia,High School,N,N,118,Northeast,140567.55,Year,Y,1,29
Asia,High School,Y,N,49,Northeast,92217.73,Year,Y,1,18
Asia,Bachelor's,N,N,-14,South,24641.61,Year,Y,1,9
Europe,Master's,Y,N,1047,South,100354.27,Year,N,0,22
Asia,Bachelor's,Y,N,517,South,21651.43,Year,Y,0,74
Asia,Master's,Y,N,2081,Midwest,161375.16,Year,Y,0,45
Europe,Master's,Y,N,1782,West,6924.86,Year,Y,0,37
Asia,High School,N,N,2011,South,132241.21,Year,N,1,30
Asia,Master's,Y,N,785,Northeast,84000.59,Year,Y,0,28
Oceania,Master's,Y,N,1927,Midwest,24831.89,Week,Y,0,55
Asia,Master's,Y,N,3623,West,10550.14,Year,Y,1,37
Asia,Master's,Y,N,3250,Midwest,75727.81,Year,Y,0,185
Asia,High School,Y,N,3352,South,62806.92,Year,Y,0,18
Asia,Doctorate,Y,N,3266,West,142128.23,Year,Y,0,32
Asia,Master's,Y,N,21299,Northeast,78975.71,Year,N,1,11
Asia,Bachelor's,Y,N,509,South,32400.2,Week,Y,0,26
Asia,Bachelor's,Y,N,2681,South,79079.87,Year,Y,0,15
Asia,Bachelor's,N,N,396,West,148106.01,Year,Y,1,113
Asia,Master's,Y,N,2030,Northeast,26317.22,Year,Y,0,32
North America,Bachelor's,N,Y,2205,South,125757.81,Year,Y,1,111
Europe,Master's,N,N,526,Northeast,45438.65,Year,Y,0,31
Europe,Doctorate,Y,Y,280,South,49609.0,Year,Y,1,44
Asia,Bachelor's,N,N,878,Midwest,66022.81,Year,Y,0,20
North America,Bachelor's,Y,N,4698,South,3683.77,Year,Y,0,24
Europe,Bachelor's,N,Y,2350,West,101282.28,Year,Y,0,62
Asia,High School,Y,N,688,South,34142.98,Year,Y,1,16
Europe,Master's,N,N,2960,West,136961.84,Year,Y,0,46
Asia,Bachelor's,Y,N,3991,South,54198.06,Year,Y,0,14
Europe,Bachelor's,N,N,2691,Midwest,127396.37,Year,Y,1,49
Europe,Bachelor's,Y,N,623,South,38073.44,Year,Y,0,13
Asia,Bachelor's,N,N,1209,Northeast,52666.45,Year,Y,0,23
Asia,High School,Y,N,3690,Northeast,10886.32,Year,Y,1,34
North America,Master's,N,N,21636,Island,129776.33,Year,Y,1,10
Asia,Master's,Y,N,1112,Northeast,158377.02,Year,N,0,30
Europe,Doctorate,N,N,1829,West,23587.42,Year,Y,1,75
Asia,Master's,N,N,3426,Midwest,171485.08,Year,Y,0,25
Asia,Master's,Y,N,1826,Midwest,112980.64,Year,Y,0,94
Asia,High School,Y,N,500,West,95966.48,Year,Y,1,168
Asia,Bachelor's,N,N,386,South,130763.98,Year,Y,0,22
North America,Master's,N,Y,2758,West,83956.4,Year,Y,0,23
Asia,Master's,Y,N,1273,Midwest,117089.71,Year,Y,0,17
Asia,Master's,N,N,222,West,52712.41,Year,Y,1,22
Asia,Bachelor's,N,N,4156,Northeast,48673.1,Year,Y,0,35
Asia,Bachelor's,Y,N,299,South,115308.17,Year,Y,1,29
Asia,Bachelor's,N,N,219,Midwest,150957.18,Year,Y,0,12
Asia,Bachelor's,Y,N,2233,Midwest,164127.41,Year,Y,0,15
Asia,Doctorate,N,N,781,South,12646.71,Year,Y,0,25
Africa,High School,Y,N,1220,Northeast,127935.21,Year,Y,0,21
North America,High School,Y,N,1537,West,450.856,Hour,Y,1,16
Asia,Master's,N,N,2144,Northeast,43555.18,Year,Y,1,25
Asia,Bachelor's,N,Y,1522,West,44123.31,Year,Y,0,103
Asia,Bachelor's,N,N,5713,Northeast,114165.05,Year,N,1,19
Asia,Bachelor's,N,N,1283,Northeast,89083.79,Year,Y,1,12
Asia,Doctorate,Y,N,3359,Northeast,22773.95,Year,Y,0,55
Asia,Master's,N,N,3616,West,61904.89,Year,Y,1,15
Europe,Master's,Y,N,3266,West,19549.61,Year,Y,0,38
North America,Master's,Y,N,39797,West,55115.41,Year,Y,0,19
Asia,Bachelor's,Y,Y,2027,West,140703.23,Year,Y,0,49
Asia,Bachelor's,Y,N,966,South,99579.54,Year,Y,0,31
Oceania,Master's,Y,N,1131,South,341.8027,Hour,Y,0,22
Asia,Bachelor's,Y,N,5313,South,147213.92,Year,Y,0,14
Europe,Master's,N,N,1322,Northeast,438.2535,Hour,Y,1,121
Europe,Master's,Y,N,1415,West,32436.29,Year,Y,0,150
Asia,Master's,N,N,1019,Northeast,124085.73,Year,Y,0,13
Asia,Bachelor's,N,N,3217,South,63324.05,Week,Y,0,25
Asia,Bachelor's,N,N,1263,West,77256.41,Year,Y,1,29
North America,Master's,Y,Y,1745,South,50507.05,Year,Y,0,24
Asia,Bachelor's,Y,N,2177,West,93206.46,Year,Y,1,63
Asia,Bachelor's,Y,N,3128,West,31890.66,Year,Y,0,24
Asia,Master's,N,N,1869,Northeast,47742.91,Year,Y,0,16
North America,Bachelor's,N,N,3876,West,76595.55,Year,Y,1,36
Asia,Bachelor's,Y,N,491,Northeast,83132.53,Year,Y,0,112
Europe,High School,N,N,3527,South,45050.36,Year,Y,1,39
Asia,Bachelor's,Y,N,27,South,49165.69,Year,Y,0,136
Asia,Master's,N,N,88,Midwest,229568.14,Year,Y,0,12
Asia,High School,Y,N,5176,Midwest,122147.09,Year,Y,1,18
Europe,High School,N,Y,1715,West,35949.45,Year,Y,1,84
Asia,High School,N,N,3493,Midwest,197598.54,Year,Y,0,52
Asia,Bachelor's,N,Y,928,South,69551.2,Year,Y,0,114
Europe,Master's,N,Y,606,West,77925.25,Year,Y,0,17
Africa,Bachelor's,Y,N,4211,Northeast,49337.69,Year,Y,0,31
Asia,High School,N,N,6790,Midwest,81298.12,Year,Y,1,25
Asia,Master's,N,N,867,Midwest,142122.62,Year,Y,0,16
Asia,High School,N,N,657,Midwest,113839.78,Year,Y,1,30
Asia,Bachelor's,Y,N,4769,Northeast,103400.4,Year,Y,0,48
Europe,Bachelor's,Y,N,1787,West,112839.76,Year,Y,0,25
North America,Master's,Y,N,2089,Northeast,27729.43,Year,Y,0,9
Asia,Master's,Y,N,341,Northeast,31147.76,Year,Y,1,24
Asia,Doctorate,N,N,3292,Midwest,121437.39,Year,Y,0,21
North America,Bachelor's,Y,N,2847,Northeast,15030.32,Year,Y,0,19
Asia,Master's,Y,N,11733,Northeast,230.8072,Hour,Y,0,28
North America,Master's,Y,N,968,West,95290.58,Year,Y,1,14
Asia,Master's,N,N,2812,Northeast,105336.39,Year,N,0,38
South America,Master's,Y,Y,985,South,75048.11,Year,Y,0,14
Asia,Bachelor's,N,N,3747,West,56315.5,Year,Y,0,29
Europe,Master's,N,Y,3286,West,19115.29,Year,Y,0,20
Asia,Bachelor's,Y,N,249,South,242597.19,Year,Y,0,32
Europe,Master's,Y,N,32057,West,20675.18,Year,Y,0,38
Asia,Master's,N,N,2965,Midwest,13279.84,Year,Y,0,23
Asia,High School,Y,N,3500,Northeast,39651.53,Year,Y,1,33
Asia,Bachelor's,Y,Y,516,Northeast,110798.53,Year,Y,0,24
Asia,Bachelor's,Y,N,2836,South,45238.99,Year,Y,0,12
Asia,Master's,N,N,4782,Northeast,70412.85,Year,Y,0,31
North America,Master's,N,N,1794,Midwest,102385.39,Year,Y,0,94
Asia,Bachelor's,Y,N,1978,South,67981.68,Year,Y,0,100
Asia,High School,N,Y,1667,West,121777.59,Year,Y,1,22
Asia,High School,Y,N,2611,South,109328.33,Year,N,0,12
Asia,Bachelor's,N,N,342,West,847.814,Hour,Y,1,28
Asia,Master's,Y,N,352,South,37757.72,Year,Y,0,24
Asia,Bachelor's,N,N,1106,Northeast,27703.09,Year,Y,0,13
Asia,Bachelor's,N,N,1434,Northeast,76878.2,Year,Y,1,44
South America,High School,Y,N,607,West,32060.79,Year,Y,1,43
Asia,High School,N,N,109,Midwest,122642.28,Year,Y,0,46
North America,High School,Y,N,5046,Northeast,33955.38,Year,Y,0,36
North America,Master's,Y,N,1835,Northeast,106523.82,Year,Y,0,25
Asia,Bachelor's,N,N,1555,West,62465.41,Year,Y,0,12
Asia,Master's,N,N,155,Midwest,127911.35,Year,Y,0,13
Asia,Master's,Y,N,3030,South,123654.65,Year,Y,0,48
Europe,Master's,N,N,4348,South,29636.78,Year,Y,0,22
Asia,High School,Y,N,3136,West,78809.85,Year,Y,1,31
Asia,Master's,Y,N,5264,Midwest,26726.64,Year,Y,0,15
Asia,Bachelor's,N,N,3929,West,57924.59,Year,Y,0,18
Asia,Bachelor's,N,N,1799,Midwest,72921.08,Year,Y,0,24
Asia,Bachelor's,N,N,406,Northeast,65105.07,Year,Y,0,27
Africa,Bachelor's,Y,N,2842,Island,260321.86,Year,N,1,42
Asia,Master's,N,N,5920,South,48154.03,Year,N,1,167
Europe,Bachelor's,N,N,1090,Northeast,102816.22,Year,Y,1,25
Europe,Bachelor's,N,N,2879,South,110905.75,Year,Y,0,42
Asia,High School,Y,N,411,Northeast,45267.21,Year,Y,1,17
South America,Bachelor's,N,N,1039,West,149957.62,Year,N,1,25
North America,High School,Y,N,6522,Northeast,59432.06,Year,Y,1,15
Europe,Bachelor's,Y,N,1316,South,62591.57,Year,Y,0,28
Asia,Bachelor's,Y,N,3499,South,145699.2,Year,Y,1,18
Europe,Bachelor's,Y,N,221,Northeast,121082.75,Year,Y,0,84
Asia,Bachelor's,N,N,1283,Midwest,116987.68,Year,Y,0,34
Europe,Doctorate,N,N,1306,Northeast,55.7084,Hour,Y,0,159
Asia,Bachelor's,Y,N,3954,Midwest,89296.95,Year,Y,0,21
Asia,Bachelor's,N,N,138,West,70036.21,Year,Y,1,46
Asia,Doctorate,Y,N,70113,Northeast,67492.78,Week,Y,0,126
Asia,Master's,Y,N,1725,West,8586.83,Year,Y,0,18
Europe,Master's,N,Y,1094,Northeast,97440.39,Year,Y,0,14
Oceania,Master's,Y,N,3182,South,140541.17,Year,N,0,21
Asia,Master's,N,Y,1887,Midwest,120433.22,Year,Y,0,18
Asia,Master's,Y,N,1379,Midwest,43501.55,Year,Y,0,13
Asia,Bachelor's,Y,N,985,Northeast,55503.15,Year,Y,0,53
Europe,Doctorate,Y,Y,19,West,67357.8,Year,Y,0,18
Asia,Bachelor's,Y,N,273,West,61660.07,Year,Y,0,21
Asia,Master's,Y,N,1939,Midwest,145870.82,Year,Y,0,38
North America,Master's,N,N,1695,Northeast,108823.58,Year,Y,1,34
North America,Master's,N,N,3509,Northeast,80561.61,Year,N,1,17
Asia,Bachelor's,Y,N,798,West,22173.65,Year,Y,1,83
Europe,Doctorate,Y,N,1458,Midwest,111148.29,Year,Y,0,13
Asia,Master's,Y,N,2339,South,78252.14,Year,Y,0,11
Asia,High School,Y,N,4550,Midwest,104457.29,Year,Y,0,55
Asia,Bachelor's,Y,Y,1057,West,112932.24,Year,Y,0,44
North America,Master's,Y,N,395,West,49157.57,Year,Y,0,46
Asia,High School,N,N,2221,Midwest,47432.12,Month,Y,0,18
Asia,Bachelor's,Y,N,1440,South,111414.29,Year,Y,0,22
Asia,Bachelor's,N,N,2279,Midwest,64941.67,Year,Y,0,50
Asia,Master's,Y,N,543,South,122812.56,Year,Y,0,109
Asia,Master's,Y,N,3139,South,80868.21,Year,Y,0,17
Asia,High School,Y,N,2449,West,9255.26,Year,Y,1,31
Asia,Master's,Y,N,1187,South,110103.98,Week,Y,0,23
Asia,Bachelor's,N,N,677,South,110050.54,Year,Y,0,34
North America,High School,N,N,4881,West,52207.77,Year,Y,1,12
Asia,Bachelor's,N,N,3461,South,158552.72,Year,Y,0,18
North America,Master's,Y,N,2438,South,107066.06,Year,N,1,31
Asia,High School,N,N,671,Northeast,27294.38,Year,Y,1,25
Europe,Bachelor's,Y,N,1007,South,69400.11,Year,Y,0,13
Asia,Master's,Y,Y,2288,Midwest,86597.66,Year,Y,0,205
Asia,Bachelor's,N,N,6149,South,157102.13,Year,N,0,192
North America,Bachelor's,Y,N,3696,Midwest,43349.62,Year,Y,0,40
Asia,Master's,Y,N,5991,South,104330.04,Year,Y,0,47
Asia,Master's,N,N,3874,Northeast,87996.91,Year,N,0,13
South America,Master's,Y,N,4421,South,7308.36,Year,Y,0,45
Asia,Bachelor's,N,N,1366,South,204141.1,Year,Y,0,15
North America,Master's,N,Y,3355,West,53991.06,Year,Y,1,22
Asia,High School,N,N,3360,Northeast,94930.52,Year,Y,0,35
Asia,Master's,N,N,2634,South,151400.14,Year,N,0,14
Europe,Master's,Y,Y,3710,Midwest,20610.17,Year,Y,0,44
Asia,Bachelor's,Y,N,880,South,157.66,Hour,Y,1,25
Europe,Bachelor's,Y,N,4196,West,54902.11,Year,Y,0,95
North America,Doctorate,Y,N,24084,Northeast,58092.99,Year,Y,0,28
Asia,Bachelor's,N,N,1282,Northeast,567.49,Hour,Y,1,114
Asia,High School,N,N,615,Midwest,95717.02,Year,Y,1,175
North America,High School,N,N,183,South,434.3017,Hour,Y,0,13
Asia,Master's,Y,N,2957,West,49087.81,Year,Y,0,31
North America,Master's,Y,N,1282,West,132265.58,Year,Y,0,12
Asia,Bachelor's,N,N,1352,Northeast,54408.26,Year,Y,0,28
Asia,Bachelor's,Y,N,323,West,137597.28,Year,Y,0,112
Europe,Master's,N,N,2571,West,28337.8,Year,Y,0,35
North America,Bachelor's,N,N,940,South,108881.03,Year,Y,0,10
Asia,High School,Y,N,71,South,18476.27,Year,Y,0,18
Asia,High School,Y,N,3847,West,111836.4,Year,Y,0,37
North America,Master's,N,N,2438,West,134500.53,Year,Y,1,15
Asia,Master's,Y,N,12769,West,46620.2,Year,Y,0,14
Asia,Doctorate,N,N,603,West,34429.97,Year,Y,0,27
Asia,Bachelor's,N,N,3350,South,23384.46,Year,Y,1,16
Asia,Master's,N,N,3292,Midwest,99628.93,Year,Y,0,18
Europe,Doctorate,Y,N,1470,West,9194.56,Year,Y,0,13
Asia,Bachelor's,Y,N,588,South,93330.77,Year,N,0,22
Asia,Master's,Y,Y,2143,South,113289.14,Year,Y,0,13
Europe,Bachelor's,Y,N,4091,West,56161.23,Year,Y,0,20
Asia,Master's,N,N,4261,Northeast,141382.33,Year,N,1,37
Asia,Master's,N,N,4341,South,56304.27,Year,Y,0,17
Asia,Bachelor's,Y,N,4947,West,21024.15,Year,Y,0,18
Europe,Bachelor's,Y,N,5071,Northeast,12624.41,Year,Y,0,24
Europe,High School,N,N,1934,South,943.7374,Hour,Y,0,18
Asia,Bachelor's,Y,N,1336,Northeast,41345.1,Year,Y,0,20
Asia,Master's,N,N,1869,West,40338.72,Year,Y,0,65
Oceania,Bachelor's,Y,Y,1195,South,40905.3,Year,Y,0,32
Asia,Bachelor's,Y,N,5471,Northeast,120756.28,Year,Y,0,22
Asia,Bachelor's,Y,N,1661,Northeast,139573.58,Year,Y,0,55
Asia,Master's,Y,N,2533,West,42631.71,Year,Y,1,16
Asia,Master's,Y,N,119,Northeast,781.0723,Hour,Y,0,25
Asia,Master's,Y,N,4471,Midwest,69495.55,Year,Y,0,27
Asia,Master's,Y,N,3230,Midwest,83278.28,Week,Y,0,81
Asia,High School,Y,N,3376,Midwest,24614.29,Year,Y,1,33
Asia,Master's,Y,N,2346,Midwest,59241.47,Year,Y,0,69
Europe,High School,Y,N,486,Northeast,54260.22,Year,Y,1,135
Asia,Master's,Y,N,5000,South,30404.99,Year,N,0,26
North America,Bachelor's,N,N,4668,West,37049.34,Year,Y,1,48
Asia,Master's,Y,N,962,South,25041.81,Year,Y,0,151
Asia,Master's,N,N,646,Midwest,145248.41,Year,Y,0,11
Asia,Bachelor's,N,Y,1572,South,111413.21,Year,Y,1,25
Europe,Master's,Y,N,1783,West,4543.31,Year,Y,0,13
Asia,Bachelor's,N,N,986,Midwest,128.6745,Hour,Y,1,23
North America,Master's,Y,N,977,West,50387.43,Year,Y,0,25
Asia,Bachelor's,Y,N,1194,South,105225.88,Year,Y,0,25
Asia,Master's,Y,N,1509,Northeast,158296.93,Year,Y,1,21
Asia,Bachelor's,N,Y,87388,West,102888.14,Year,Y,1,26
Asia,Bachelor's,Y,N,1566,West,29491.07,Year,Y,1,18
Europe,Bachelor's,N,N,1509,West,82119.44,Year,Y,0,75
Asia,Master's,N,N,184,Northeast,101731.52,Year,Y,0,42
Asia,Master's,N,Y,2373,West,3567.48,Year,Y,0,17
Asia,Bachelor's,N,N,4425,South,157126.11,Year,Y,0,21
North America,Bachelor's,Y,N,1318,South,63923.95,Year,Y,0,13
Asia,Master's,Y,N,1329,Midwest,119030.45,Year,Y,0,14
Asia,Master's,N,N,1284,Midwest,104040.79,Year,N,1,49
Asia,Bachelor's,N,Y,3891,South,45860.87,Year,Y,0,92
Asia,Bachelor's,Y,N,3149,Northeast,128883.23,Year,Y,0,14
Asia,High School,Y,N,2237,South,66076.39,Year,Y,1,17
Asia,Master's,Y,N,806,Northeast,112560.61,Year,Y,1,14
Asia,Master's,Y,N,413,South,50110.13,Year,Y,0,14
Asia,Master's,N,N,2930,Northeast,66058.4,Year,N,0,20
Asia,Master's,Y,N,1375,West,47372.4,Year,Y,0,101
Asia,Master's,N,Y,2803,South,124108.52,Year,Y,0,34
Asia,Master's,N,N,989,South,95942.26,Year,N,0,22
Asia,Doctorate,Y,Y,741,South,82643.23,Year,Y,0,26
Asia,Master's,Y,N,1588,West,128870.48,Year,Y,0,48
Asia,Bachelor's,Y,N,1241,West,130983.03,Year,Y,0,20
Europe,Master's,Y,N,1830,South,39778.92,Year,Y,0,27
Europe,Bachelor's,Y,N,67441,West,44342.91,Year,Y,0,26
Asia,Bachelor's,N,N,3820,Midwest,146396.23,Year,Y,0,13
Asia,Bachelor's,Y,N,3124,South,114849.38,Year,Y,0,138
Asia,Master's,N,N,3780,Northeast,32632.96,Year,N,0,19
Asia,Bachelor's,N,N,1436,West,72187.75,Year,Y,1,17
Asia,Bachelor's,Y,Y,3765,South,359.9641,Hour,Y,0,22
Asia,Master's,N,Y,1973,Midwest,103481.98,Year,Y,0,17
Asia,Bachelor's,Y,N,578,South,18641.41,Year,Y,0,63
Asia,Master's,Y,N,673,Midwest,99938.21,Year,Y,0,17
Asia,Bachelor's,N,N,1475,Midwest,44989.55,Year,Y,1,23
Asia,Master's,Y,N,93,Northeast,69939.97,Year,Y,0,17
Asia,Master's,N,N,3502,Midwest,106750.76,Year,N,1,19
Europe,Master's,Y,N,1948,West,37795.61,Year,Y,0,46
Europe,High School,N,Y,1145,Midwest,105275.49,Year,Y,0,10
Africa,Master's,N,N,5918,Northeast,85939.76,Year,Y,0,11
Asia,Master's,N,N,1325,Northeast,335.5486,Hour,Y,0,52
Asia,Doctorate,N,N,68,Midwest,213253.79,Year,Y,1,138
North America,Bachelor's,Y,N,3080,West,81900.05,Year,Y,1,37
Asia,Bachelor's,N,N,1736,West,107578.85,Year,Y,1,21
North America,Bachelor's,Y,N,2022,South,7298.65,Year,Y,0,16
Asia,Bachelor's,N,N,1324,West,93520.66,Year,Y,1,30
Asia,Master's,Y,Y,803,West,36335.72,Year,Y,0,30
Asia,Bachelor's,Y,N,5056,West,89785.86,Year,Y,0,60
Asia,Doctorate,Y,N,515,Midwest,78768.84,Year,Y,0,23
Africa,Bachelor's,Y,Y,3510,Northeast,85864.24,Year,Y,0,45
Europe,Doctorate,N,Y,467,West,63059.1,Year,Y,0,32
Asia,Bachelor's,Y,N,2974,Midwest,39302.64,Year,Y,0,36
Asia,Master's,Y,N,135,South,84161.73,Year,Y,0,88
Europe,Bachelor's,N,N,2626,South,144090.19,Year,Y,0,51
Asia,High School,Y,N,3738,Midwest,36546.32,Year,Y,0,21
Asia,Bachelor's,N,N,1266,West,193.0432,Hour,Y,1,22
North America,Bachelor's,Y,N,5470,Northeast,91991.78,Year,Y,1,21
North America,Master's,N,N,4427,Island,57435.68,Year,Y,0,33
Asia,Master's,Y,N,657,West,149.4644,Hour,Y,0,29
Asia,Master's,Y,N,926,Midwest,136085.67,Year,Y,0,26
Europe,Doctorate,N,N,2154,West,9639.14,Year,Y,0,29
South America,Bachelor's,Y,N,2482,West,20429.27,Year,Y,0,29
Asia,Master's,N,Y,2819,South,82403.05,Year,Y,0,25
Asia,Bachelor's,Y,N,2127,West,338.2191,Hour,Y,1,191
Asia,Bachelor's,N,Y,1939,South,194545.72,Year,Y,1,43
Asia,Master's,Y,N,3704,Midwest,107465.64,Year,N,1,20
Asia,Master's,N,N,3955,West,125869.86,Year,Y,1,18
Asia,High School,Y,N,8387,Midwest,108825.55,Year,Y,1,20
Asia,Master's,N,N,622,Midwest,32705.07,Year,N,0,69
Asia,Bachelor's,Y,N,604,Midwest,216188.09,Year,Y,0,143
North America,Master's,Y,Y,31,South,106.22,Hour,Y,1,26
Europe,Bachelor's,N,N,4674,West,26779.66,Year,Y,0,17
Asia,Bachelor's,Y,N,1832,West,83050.2,Year,Y,1,22
North America,Master's,N,Y,234,Midwest,41241.37,Year,Y,1,42
South America,Bachelor's,N,Y,614,South,118790.95,Year,Y,1,15
Asia,Master's,N,N,77923,West,120139.85,Year,Y,0,119
Asia,High School,N,Y,710,Midwest,47720.44,Year,Y,1,39
North America,Bachelor's,N,N,4260,Northeast,43174.39,Year,Y,0,58
Europe,Bachelor's,Y,Y,2101,South,49080.07,Year,Y,0,38
Asia,Bachelor's,N,N,2990,Northeast,249.1278,Hour,Y,1,98
North America,Bachelor's,Y,N,2190,South,129276.92,Year,Y,0,10
Asia,Master's,Y,N,3783,Northeast,76081.23,Year,Y,0,19
Asia,Bachelor's,Y,N,2089,South,232680.65,Year,Y,0,16
Asia,Master's,N,N,2828,Northeast,111183.39,Year,Y,0,176
Asia,Master's,Y,N,1467,Midwest,14890.6,Year,Y,0,17
Asia,Bachelor's,Y,N,317,South,99342.3,Year,Y,0,30
Asia,Bachelor's,Y,N,3072,Northeast,47197.07,Year,Y,0,123
